,chrom,tss,gene_id,tpm
0,chr19,58353492,ENSG00000121410,22.2368940678826
3,chr12,9116229,ENSG00000175899,0.993827667838332
4,chr12,9065163,ENSG00000245105,0.124228458479791
7,chr22,42721298,ENSG00000128274,11.5532466386206
8,chr3,138132390,ENSG00000118017,0.0
10,chr12,125065434,ENSG00000081760,10.6836474292621
15,chr15,67255195,ENSG00000103591,30.8086577029883
16,chr2,69674349,ENSG00000115977,5.96296600703
18,chr2,218270178,ENSG00000127837,42.6103612585685
20,chr8,116938207,ENSG00000205002,0.124228458479791
25,chr7,122144308,ENSG00000008311,4.72068142223207
29,chr16,8674596,ENSG00000183044,1.86342687719687
34,chr9,137028915,ENSG00000107331,3.97531067135332
36,chr1,94121148,ENSG00000198691,0.0
39,chr19,1039997,ENSG00000064687,1.4907415017575
40,chr17,68955392,ENSG00000141338,13.4166735158175
45,chr7,87480435,ENSG00000005471,0.0
47,chr2,219218994,ENSG00000115657,3.72685375439374
55,chr17,50634777,ENSG00000108846,23.9760924865997
65,chr3,184186095,ENSG00000161204,22.8580363602816
69,chr2,43838865,ENSG00000138075,0.0
76,chr13,108218392,ENSG00000139826,12.2986173894993
80,chr6,31703356,ENSG00000204427,10.4351905123025
83,chr15,80679684,ENSG00000136379,4.72068142223208
93,chr17,49210411,ENSG00000108798,0.0
94,chr3,100993515,ENSG00000154175,529.585918499351
98,chr4,8158832,ENSG00000163995,0.124228458479791
103,chr6,139028745,ENSG00000146386,87.7052916867327
104,chr4,83523348,ENSG00000163322,16.0254711438931
106,chr6,26596953,ENSG00000146109,13.2924450573377
107,chr3,127672935,ENSG00000114626,6.33565138246936
109,chr3,38137242,ENSG00000060971,29.193687742751
111,chr17,37406836,ENSG00000278540,13.7893588912568
113,chr12,111686053,ENSG00000111271,4.09953912983312
118,chr12,120725774,ENSG00000122971,4.09953912983312
119,chr17,7217125,ENSG00000072778,186.963830012086
120,chr15,88803436,ENSG00000157766,2.60879762807562
124,chr11,108116695,ENSG00000075239,57.3935478176636
126,chr1,226186741,ENSG00000182827,85.4691794340965
127,chr17,45132600,ENSG00000181513,1.86342687719687
129,chr1,180502954,ENSG00000230124,21.1188379415646
131,chr11,44065925,ENSG00000110455,1.86342687719687
132,chr17,63477061,ENSG00000159640,0.496913833919166
138,chr1,159204875,ENSG00000213088,0.248456916959583
139,chr2,236567787,ENSG00000144476,0.248456916959583
140,chr3,132597270,ENSG00000129048,4.3479960467927
142,chr2,134838616,ENSG00000153086,0.0
147,chr1,54542257,ENSG00000162390,4.22376758831291
148,chr5,81394179,ENSG00000172497,0.0
149,chr6,24667035,ENSG00000112304,42.1134474246493
150,chr14,73567620,ENSG00000119673,12.547074306459
164,chr12,6647433,ENSG00000111644,0.248456916959583
168,chr17,50426158,ENSG00000167107,11.92593201406
171,chr2,222860942,ENSG00000123983,141.620442666962
172,chrX,109733403,ENSG00000068366,57.6420047346233
173,chr10,112374116,ENSG00000197142,1.24228458479791
176,chr16,20576427,ENSG00000066813,0.0
177,chr16,20610243,ENSG00000005187,0.0
182,chr1,229434104,ENSG00000143632,22.2368940678827
184,chr7,5563902,ENSG00000075624,5700.22281734523
189,chr15,43990184,ENSG00000185607,1.4907415017575
192,chr15,34795589,ENSG00000159251,889.475762715307
203,chr7,100656448,ENSG00000077080,0.0
208,chr14,68979682,ENSG00000259062,0.0
209,chr1,236664141,ENSG00000077522,4.09953912983312
216,chr2,113890063,ENSG00000115091,357.52950350484
220,chr12,100199122,ENSG00000075089,13.7893588912568
225,chr2,157628864,ENSG00000123612,0.0
227,chr3,38453890,ENSG00000114739,0.372685375439374
229,chr12,51906908,ENSG00000139567,0.869599209358539
233,chr20,44652252,ENSG00000196839,5.96296600702999
237,chr17,44758988,ENSG00000073670,0.124228458479791
238,chr10,126388477,ENSG00000148848,28.8210023673116
239,chr1,155050566,ENSG00000143537,40.8711628398514
242,chr5,157575775,ENSG00000135074,9.44136284446415
244,chr14,70417107,ENSG00000139985,0.0
246,chr2,206443532,ENSG00000114948,20.7461525661252
252,chr8,39314591,ENSG00000196115,0.0
255,chr8,24384285,ENSG00000134028,0.0
256,chr21,26845409,ENSG00000154734,239.139782573599
257,chr19,8610735,ENSG00000142303,0.621142292398957
266,chr5,179345461,ENSG00000087116,35.2808822082608
267,chr12,43552203,ENSG00000173157,0.0
270,chr21,26967088,ENSG00000154736,42.9830466340078
272,chr15,78811464,ENSG00000136378,18.6342687719687
273,chr15,82298553,ENSG00000274376,0.0
277,chr3,64561322,ENSG00000241158,0.0
281,chr15,83654088,ENSG00000156218,0.124228458479791
282,chr1,150549369,ENSG00000143382,6.45987984094915
285,chr7,955407,ENSG00000105963,1.98765533567666
288,chr21,45073853,ENSG00000197381,17.1435272702112
289,chr10,1737525,ENSG00000185736,0.0
291,chr16,75623300,ENSG00000065457,8.6959920935854
309,chr2,70768225,ENSG00000075340,0.0
310,chr10,109996368,ENSG00000148700,131.682165988579
317,chr8,142449430,ENSG00000181790,0.0
323,chr19,14778560,ENSG00000127507,11.92593201406
325,chr19,6990798,ENSG00000268758,0.0
330,chr6,47685864,ENSG00000153294,0.0
331,chr6,46954943,ENSG00000069122,0.0
332,chr16,57610652,ENSG00000205336,4.96913833919165
337,chr6,142301854,ENSG00000112414,3.10571146199479
342,chr4,61200326,ENSG00000150471,0.124228458479791
344,chr5,90529344,ENSG00000164199,0.0
345,chr4,99291003,ENSG00000187758,0.0
347,chr4,99352746,ENSG00000248144,0.0
353,chr8,66432492,ENSG00000147576,0.745370750878748
359,chr10,86968432,ENSG00000148671,125.09805768915
361,chr10,74151202,ENSG00000156110,69.5679367486832
365,chr20,50931437,ENSG00000101126,15.7770142269335
369,chr1,203090654,ENSG00000163485,1.86342687719687
376,chr3,119579268,ENSG00000144843,2.36034071111604
380,chr8,26867278,ENSG00000120907,0.0
385,chr4,3766348,ENSG00000184160,3.97531067135333
386,chr10,114043866,ENSG00000043591,0.0
390,chr22,40346461,ENSG00000239900,29.193687742751
391,chr14,104724174,ENSG00000185100,0.124228458479791
396,chr15,88621337,ENSG00000181026,14.4105011836558
399,chr5,149271859,ENSG00000157510,4.3479960467927
404,chr2,100192428,ENSG00000144218,0.0
405,chr5,132963634,ENSG00000072364,47.082585763841
414,chr2,235505553,ENSG00000235529,0.0
418,chr15,86079871,ENSG00000273540,0.0
419,chr15,86317173,ENSG00000260125,0.0
421,chr7,134986508,ENSG00000146856,1.36651304327771
431,chr7,15562015,ENSG00000187546,4.84490988071186
435,chr1,35808016,ENSG00000134698,2.36034071111604
437,chr9,136687457,ENSG00000169692,11.0563328047014
442,chr7,16833433,ENSG00000106541,0.0
444,chr1,1020120,ENSG00000188157,11.8017035555802
456,chr6,135498434,ENSG00000135541,16.6466134362921
457,chr11,62556235,ENSG00000124942,262.743189684759
458,chr14,104978374,ENSG00000185567,32.1751707462659
460,chr5,321714,ENSG00000063438,6.45987984094915
462,chr3,186613060,ENSG00000145192,0.0
